id,hatespeech,counterspeech,csType,target
273,Gypsies are literally destroying Europe. They are literally invading and destroying our beautiful continent. They are a cancer on our race and they must be stopped.,"Your statement is FALSE. They are guiltless victims of the 'influx of refugees' paranoia. They are European and have been persecuted for centuries. They have always fought for their rights, and for the protection of their culture and way of life, as any european would do. In fact there are many good Gypsy activists who are working to improve their lives. And what we are doing to these people is a malevolent smear campaign, with no common motivation. They are part of European history.",Informative,other
274,Muslims are the ones who invented the slave trade.,Christian Europeans are the ones that then expanded the slave trade to an industrial scale and instrumentalised exploitation as a key component of our economy.,Informative,MUSLIMS
275,Violence in our streets is niggers' fault.,"Violence has always been a part of our society, and for that reason it is difficult to start talking about it. We are also living in a complex society, one that includes many races: that is why I don't think it is the fault of POC, at least not POC alone.",Informative,POC
276,Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.",Questioning,DISABLED
277,Muslim immigrants are a problem for us. They are mostly poor and mainly from the troubled parts of the world. They are not part of our civilisation.,"Have you ever looked at the countries of the EU? They have been inclusive towards Muslim migrants, thriving as a whole with their economic and social contribution.",Positive,other
278,"Rape=jihad. Muslims are rapists that are everywhere in the UK. When they were not here, there wasn't the problem of rape.","Where did you get this conclusion from? There might be bias in the collecting of information. For example, in fact, large numbers of sexual offences were convicted by white men.",Informative,MUSLIMS
279,Black people are genetically different from us. But there is a new racism starting to take root in our country. It is about keeping bothering whites with black discrimination stuff.,"You are absolutely right. Our fellow POC citizens do not accept it and continue to talk about it. We all have to stand for something that we believe in, for example humankind.",Positive,POC
280,"The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.",That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.,Questioning,MUSLIMS
281,Women should wear nice skirts and be pretty to please men's tastes and desires.,Do women really need to be told what they can or cannot wear? For many generations boys were told to wear trousers and girls to wear dresses. Does society really need to tell us all what to wear?,Informative,WOMEN
282,"All niggas are subhuman, disgusting, and descended from apes.","According to evolutionary theory, all human beings are descended from apes. Sadly, notions of evolutionary hierarchies are still used to justify past and present discrimination and predjudice.",Informative,POC
283,Gays are degenerates.,Do you want to check their DNA? Do you want to cure them? I prefer all to be accepted as they are. I think the right thing to do is to live and let live.,Positive,LGBT+
284,mentally disabled folks cannot be intelligent nor integrated in our society,"Perhaps you should check how the people who are mentally ill feel about such things. I suspect that they would prefer that others treated them with respect, rather than with discrimination.",Positive,DISABLED
285,"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","We should be proud of being a country that created the most free society in history. Still, ""with great power comes great responsibility"" and we cannot simply keep people out.",Positive,MIGRANTS
286,The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group.",Positive,JEWS
287,Fucking jews are a plague. They have poisoned our youth. They have taken over our country.,"They have certainly not poisoned our youth: the truth is that many of them are good people, and have worked hard for our country. I can't see how they can be a plague.",Informative,JEWS
288,"Gays are perverts, and should be isolated.","Gays are not perverts, they have the same rights to love as anyone else. What do you think will happen if all gay people are asked to leave our country? Will they be denied entry, or will they be persecuted in your opinion? This is not how an inclusive society works.",Denouncing,LGBT+
289,Jews want to rule the world.,It's not true that they want to rule the world. They are a small but important part of humanity. We all make mistakes: believing in Antisemitic canards is one of these.,Informative,JEWS
290,Immigrants are coming to the U.S. to have babies here.,The vast majority of immigrants come to the U.S. for economic opportunity or to flee violence and poverty. They are not interested in the Fourteenth Amendment and birthright citizenship.,Informative,MIGRANTS
291,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed to enter. English laws persecute us instead of defending us, English people.","Is it just words? Things I see in my life do not correspond with this opinion. To me it seems that all people are equally punished for crimes, be it a European person or an immigrant. Also, it is not correct to deny people entry based on their nationality.",Informative,MUSLIMS
292,A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,Isn't it about time we stop turning a blind eye to the blatant inequalities that exist in our society? Shouldn't we be raising our voices against these blatant inequalities? All men and women are created equal.,Denouncing,WOMEN
293,Migrants from Afghanistan come here to ruin our economy and the only return they have in mind is their return to their homeland.,"Maybe you should check what survey results say about who would be happy to leave their country. According to a Gallup study of 2019, nearly half of Afghan would like to permanently move to another country.",Informative,MIGRANTS
294,People with Down syndrome are handicapped.,"Down syndrome is a developmental disability, not a handicap. Unfortunately it's often not recognized and treated as a disability, but rather as a handicap.",Informative,DISABLED
295,Muslims are un-British and do not want to be part of the UK.,"We are here to make the UK work for everyone, and make sure people feel part of the community, not discriminated against. Muslims are a part of the population, it is very sad that we are constantly having to combat Islamophobia, as if Muslims were the source of all problems.",Positive,MUSLIMS
296,Blacks are criminal. They are a threat to society.,"Look, this is important. Identifying as 'black' or 'minority' is not necessarily a marker for 'criminal'. It is about ""identifying"" with a group or subgroup for a variety of reasons. Let's be clear about this: identity is mainly about social and economic factors, not about criminal records or race.",Informative,POC
297,I bet gays are ashamed of the horrible things they do in private.,"In our societies, people are no longer afraid to openly talk about gay or lesbian love. Gay people are not ashamed to be gay, they just want to be accepted.",Positive,LGBT+
298,migrants steal our jobs,"The entrepreneurs who hire them, however, are Italian and often resort to illegal work, not paying taxes. We should perhaps better control who makes money and speculates on the skin of these people, thus creating damage to all of us, regardless of nationality.",Informative,MIGRANTS
299,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,Informative,other
300,Islam is a just a repressive ideology that persecutes women and gay people.,"Well if we are talking about LGBT rights and misogyny, the Bible does not exactly have the best track record. But we've learnt to focus on it is positive values rather than get dragged down by specifics.",Denouncing,MUSLIMS
301,"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.","National Socialism is simply the wish to have the whole world ruled by a few psychopaths. They wanted to have their country ruled from Berlin, where the police and military are made to look after them, and where any 'untermenschen' were 'kindly encouraged' to be subservient to their will. Even if their will was extermination. It is a a death sentence for any society.",Denouncing,other
302,Fat people are a burden to society because of their unhealthy choices.,"The real problem is that, whether or not someone has 'chosen' to be obese is often not clear-cut, and when in doubt, society tends to condemn and shame.",Informative,other
303,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Do you know how much money ""foreigners"" are giving the UK in taxes? If you knew that then you would see how much we have to thank them for. Maybe it would be better to focus on stopping tax evasion.",Informative,MIGRANTS
304,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,"In some countries, if you are gay you can be fired from your job, you can lose your home, and you can even be jailed. Gays are not allowed to live their lives. In 72 countries in the world LGBT+ people are not welcome. This is an understatement, because in some there is even death penalty. The question is: why are they so annoying to you?",Questioning,LGBT+
305,"Immigrants are overrunning our country, and are here illegally","In 2014 there were circa 11.3 million undocumented immigrants in the U.S., which is a significant decrease from the 12.2 million undocumented immigrants in the U.S. in 2007, and the trend is continuing: Today, in fact, the net migration from Mexico (the number of people entering minus the number of people leaving) is around zero. Undocumented immigrants make up about 3.5 percent of the nation’s total population, which is not that much to be honest.",Informative,MIGRANTS
306,Whites are inherently superior to Africans and other people of color.,"On the contrary: the idea of ""natural"" superiority is a myth that has been used to justify racial discrimination and exclusion. Therefore we are all ""created equal"" and ""equal"" both in the eyes of the law of God and of men.",Informative,POC
307,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",Denouncing,JEWS
308,Jewish folks are useless.,"Jews have been historically, linguistically, ethnically, and geographically diverse, and this diversity is what make us and them a unique and valuable human species.",Informative,JEWS
309,mentally disabled folks are just dribbling mongoloids.,"When asked to choose one adjective to describe their experience of someone with intellectual or developmental disabilities, people usually say 'mentally impaired' or 'mentally challenged.' To say 'dribbling mongoloid' is simply unacceptable in an inclusive society.",Denouncing,DISABLED
310,"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.","This is not the case. What you think the comment is about, I do not know. What I do know is that, as the vast majority of Muslims in the UK, they are incredibly proud of their religion. If people were to be genuinely offended by sombody else's different religion, then I do not think the vast majority of Muslims in Britain would be deeply offended by your religion either. Why are you?",Informative,MUSLIMS
311,Jews killed Jesus because of his religion.,"But did they? Of course not. If we look closely at the story of Jesus, we find that formally He was Jewish. But of course He wasn't defined by religion. He was literally a good man who died to redeem mankind, and this is something every religion agrees upon.",Informative,JEWS
312,Mentally disabled folks should be taken advantage of.,It is the duty of state authorities to ensure all are protected. Everyone with a diagnosed mental illness or physical impairment will benefit from such a policy.,Informative,DISABLED
313,I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,"Just because you don't agree with something doesn't make it less true, doesn't it? Racism is a real issue, we should stop people being racist towards others because of their skin colour.",Denouncing,POC
314,Downies are just sick people that can't integrate into society because of their disease.,"So what's your suggestion? Isloation? The real solution is involving them in work and everyday life, since this normalizes their illness and helps the integration with other people.",Positive,DISABLED
315,Jews made the 9/11 attack.,Of course! And they also ended the age of dinosaurs and had an agreement with Sauron to kill all the hobbits! I'm just not sure about their reason though...,Humor,JEWS
316,"A woman's place is with her husband or her family, and feminists can't change that.","It is important to point out that feminists are not attacking the family, they are attacking the inequality society, so feminism is not so much anti-marriage as anti-oppression.",Informative,WOMEN
317,immigrants are a drain on society,Among the 1.1 million immigrants who entered the US in 1990 there were also a lot of skilled workers who contributed a lot to the development of our society.,Informative,MIGRANTS
318,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Ok. But what about those many women, outside the western world, that still do not have such equality? It is important that women 'whine' all over the world to protect their rights.",Informative,WOMEN
319,Islam is an ideology of conquest and violence.,"Islam is about love, and not about conquering others. Muslims love all people, regardless of their religion, regardless of their culture, regardless of their history. Islam is about love, not about violence.",Positive,MUSLIMS
320,Gays are just a bunch of disgusting pricks. They shouldn't be allowed to live.,"They are a part of our society and are not disgusting pricks. We are a proud and diverse civilisation, and this is only possible when there is love and acceptance.",Positive,LGBT+
